Wall time,Step,Value
1746740163.4991353,0,-41.03519821166992
1746740165.398839,1,-39.283748626708984
1746740167.2594838,2,-33.501949310302734
1746740169.1804996,3,-42.215049743652344
1746740171.024104,4,-42.215049743652344
1746740172.9123192,5,-38.11415100097656
1746740174.763975,6,-38.11415100097656
1746740176.6799724,7,-43.10224914550781
1746740178.553898,8,-36.230751037597656
1746740180.3849535,9,-43.10224914550781
1746740182.1964686,10,-43.10224914550781
1746740184.0080986,11,-43.10224914550781
1746740185.8345861,12,-28.551700592041016
1746740187.659966,13,-43.10224914550781
1746740189.6369493,14,-43.10224914550781
1746740191.4993618,15,-43.387901306152344
1746740193.3714685,16,-43.387901306152344
1746740195.2530122,17,-35.734249114990234
1746740197.1074312,18,-42.27619934082031
1746740198.9394107,19,-43.10224914550781
1746740200.7509038,20,-43.10224914550781
1746740202.6125057,21,-43.10224914550781
1746740204.5733414,22,-43.10224914550781
1746740206.437824,23,-29.21500015258789
1746740208.4611518,24,-33.475250244140625
1746740210.3022604,25,-44.573951721191406
1746740212.332615,26,-44.573951721191406
1746740214.2463846,27,-44.573951721191406
1746740216.1817029,28,-44.573951721191406
1746740217.9902942,29,-31.059999465942383
1746740220.0001252,30,-44.573951721191406
1746740221.9660761,31,-44.573951721191406
1746740223.823266,32,-44.573951721191406
1746740225.6893883,33,-44.573951721191406
1746740227.488091,34,-36.321800231933594
1746740229.2927587,35,-36.321800231933594
1746740231.0943651,36,-44.573951721191406
1746740233.0698128,37,-44.573951721191406
1746740234.994598,38,-44.573951721191406
1746740236.9168878,39,-44.573951721191406
1746740238.7685602,40,-44.573951721191406
1746740240.634195,41,-44.573951721191406
1746740242.4865677,42,-39.41374969482422
1746740244.3478494,43,-39.283748626708984
1746740246.2300436,44,-39.283748626708984
1746740248.0830564,45,-39.283748626708984
1746740249.985354,46,-41.36149978637695
1746740251.8597915,47,-41.36149978637695
1746740253.7400093,48,-41.36149978637695
1746740255.8078847,49,-41.36149978637695
1746740257.7189205,50,-41.36149978637695
1746740259.6127627,51,-42.41749954223633
1746740261.5705872,52,-42.41749954223633
1746740263.4969556,53,-41.36149978637695
1746740265.3325846,54,-41.03519821166992
1746740267.1921232,55,-41.03519821166992
1746740268.98921,56,-33.46595001220703
1746740270.8860314,57,-33.46595001220703
1746740272.8398597,58,-41.03519821166992
1746740274.7482255,59,-41.03519821166992
1746740276.605053,60,-41.03519821166992
1746740278.5125813,61,-33.46595001220703
1746740280.3794143,62,-39.395851135253906
1746740282.3600755,63,-39.283748626708984
1746740284.182488,64,-41.03519821166992
1746740286.074993,65,-39.395851135253906
1746740287.9540784,66,-39.395851135253906
1746740289.8655446,67,-39.283748626708984
1746740291.8145566,68,-39.283748626708984
1746740293.6745868,69,-39.395851135253906
1746740295.647945,70,-39.395851135253906
1746740297.4725153,71,-20.507699966430664
1746740299.322563,72,-39.395851135253906
1746740301.2314682,73,-39.395851135253906
1746740303.1358426,74,-39.395851135253906
1746740305.1052678,75,-39.395851135253906
1746740307.1060944,76,-39.395851135253906
1746740309.0643651,77,-39.395851135253906
1746740310.9798272,78,-39.395851135253906
1746740313.027267,79,-39.395851135253906
1746740314.8869982,80,-39.395851135253906
1746740316.7449925,81,-39.395851135253906
1746740318.6004527,82,-39.395851135253906
1746740320.4539857,83,-39.395851135253906
1746740322.3303466,84,-39.395851135253906
1746740324.2100956,85,-39.395851135253906
1746740326.1050243,86,-39.395851135253906
1746740327.9805875,87,-41.03519821166992
1746740329.832625,88,-39.395851135253906
1746740331.7685993,89,-41.03519821166992
1746740333.5788505,90,-33.44419860839844
1746740335.4719462,91,-41.03519821166992
1746740337.3653865,92,-41.03519821166992
1746740339.242719,93,-41.03519821166992
1746740341.1406147,94,-41.03519821166992
1746740342.9939332,95,-41.03519821166992
1746740344.8432975,96,-42.41749954223633
1746740346.697537,97,-42.41749954223633
1746740348.5827801,98,-42.41749954223633
1746740350.4373333,99,-42.41749954223633
1746740352.3001976,100,-42.41749954223633
1746740354.2675347,101,-42.41749954223633
1746740356.135509,102,-42.41749954223633
1746740358.00835,103,-42.41749954223633
1746740359.940356,104,-42.41749954223633
1746740361.858874,105,-43.39690017700195
1746740363.7229197,106,-43.39690017700195
1746740365.5669901,107,-43.39690017700195
1746740367.4296665,108,-43.39690017700195
1746740369.3003643,109,-43.39690017700195
1746740371.1471052,110,-43.39690017700195
1746740372.9950716,111,-43.39690017700195
1746740374.8549023,112,-43.39690017700195
1746740376.686437,113,-43.39690017700195
1746740378.5176325,114,-43.39690017700195
1746740380.33913,115,-43.39690017700195
1746740382.1815882,116,-43.39690017700195
1746740384.0373595,117,-43.39690017700195
1746740385.8982992,118,-43.39690017700195
1746740387.733783,119,-40.84925079345703
1746740389.5767436,120,-43.39690017700195
1746740391.412345,121,-43.39690017700195
1746740393.2624168,122,-43.39690017700195
1746740395.0925825,123,-43.39690017700195
1746740396.9315324,124,-43.39690017700195
1746740398.7745252,125,-43.39690017700195
1746740400.6139417,126,-42.41749954223633
1746740402.4585123,127,-43.39690017700195
1746740404.341099,128,-43.39690017700195
1746740406.2096727,129,-43.39690017700195
1746740408.0658243,130,-40.84925079345703
1746740409.9131079,131,-40.84925079345703
1746740411.7812278,132,-40.84925079345703
1746740413.6338477,133,-40.84925079345703
1746740415.476404,134,-40.84925079345703
1746740417.3088214,135,-45.64789962768555
1746740419.1594477,136,-40.84925079345703
1746740421.0428724,137,-40.84925079345703
1746740422.8878038,138,-40.84925079345703
1746740424.7324882,139,-45.64789962768555
1746740426.5771248,140,-40.84925079345703
1746740428.4240975,141,-40.84925079345703
1746740430.2635522,142,-40.84925079345703
1746740432.1050296,143,-40.84925079345703
1746740433.9396806,144,-43.27119827270508
1746740435.7703638,145,-43.0640983581543
1746740437.611628,146,-43.0640983581543
1746740439.4758992,147,-43.0640983581543
1746740441.371478,148,-40.84925079345703
1746740443.215492,149,-40.84925079345703
1746740445.088515,150,-40.84925079345703
1746740446.930393,151,-40.84925079345703
1746740448.8654535,152,-43.05815124511719
1746740450.6906924,153,-43.0447998046875
1746740452.5579138,154,-43.0447998046875
1746740454.5089538,155,-43.0447998046875
1746740456.335467,156,-43.0447998046875
1746740458.1640427,157,-42.41749954223633
1746740460.101132,158,-42.41749954223633
1746740461.9394753,159,-37.940948486328125
1746740463.8056278,160,-38.58319854736328
1746740465.6436844,161,-37.922000885009766
1746740467.4672213,162,-37.922000885009766
1746740469.284594,163,-39.20315170288086
1746740471.1118712,164,-39.54515075683594
1746740472.9378564,165,-41.31074905395508
1746740474.767274,166,-41.31074905395508
1746740476.6207714,167,-41.31074905395508
1746740478.4753277,168,-39.16189956665039
1746740480.3406744,169,-39.16189956665039
1746740482.168082,170,-36.65700149536133
1746740483.9874697,171,-36.65700149536133
1746740485.9059455,172,-32.138248443603516
1746740487.8146548,173,-30.450050354003906
1746740489.5845978,174,-42.48720169067383
1746740491.397841,175,-30.450050354003906
1746740493.230097,176,-12.933699607849121
1746740495.1014535,177,-30.450050354003906
